GRE_Score,TOEFL_Score,SOP,LOR ,CGPA,Admit_Chance,University_Rating_1,University_Rating_2,University_Rating_3,University_Rating_4,University_Rating_5,Research_0,Research_1
324,110,3.5,4.0,8.87,1,0,0,1,0,0,0,1
321,111,3.5,4.0,8.83,0,0,0,1,0,0,0,1
320,104,3.0,2.5,8.57,0,0,0,1,0,0,0,1
316,99,2.5,3.0,9.0,0,0,1,0,0,0,1,0
318,100,2.5,3.5,8.54,0,0,1,0,0,0,0,1
335,115,4.5,4.5,9.68,1,0,0,0,1,0,0,1
321,114,4.0,5.0,9.12,1,0,0,0,1,0,1,0
307,110,4.0,4.5,8.37,0,0,0,0,1,0,1,0
309,99,4.0,4.0,8.56,0,0,0,1,0,0,1,0
324,100,4.0,5.0,8.64,0,0,0,1,0,0,0,1
326,102,5.0,5.0,8.76,0,0,0,0,1,0,0,1
331,119,5.0,4.5,9.34,1,0,0,0,1,0,0,1
327,108,5.0,3.5,9.13,1,0,0,0,0,1,0,1
312,104,3.5,4.0,8.09,0,0,0,1,0,0,1,0
308,103,2.5,4.0,8.36,0,0,1,0,0,0,0,1
324,111,2.5,1.5,8.79,0,0,0,1,0,0,0,1
325,110,3.0,2.5,8.76,0,0,1,0,0,0,0,1
313,102,2.5,2.5,8.68,0,0,0,1,0,0,1,0
312,105,2.0,2.5,8.45,0,0,1,0,0,0,1,0
314,107,3.0,3.5,8.17,0,0,0,1,0,0,0,1
327,113,4.5,5.0,9.14,1,0,0,0,1,0,1,0
308,108,4.5,5.0,8.34,0,0,0,0,1,0,1,0
306,105,2.5,3.0,8.22,0,0,1,0,0,0,0,1
299,96,1.5,2.0,7.86,0,0,1,0,0,0,1,0
294,95,1.5,1.5,7.64,0,1,0,0,0,0,1,0
312,99,1.0,1.5,8.01,0,1,0,0,0,0,0,1
315,100,2.0,2.5,7.95,0,1,0,0,0,0,1,0
322,110,3.5,3.0,8.96,0,0,0,1,0,0,0,1
329,113,5.0,4.5,9.45,1,0,0,0,0,1,0,1
320,101,2.5,3.0,8.62,0,0,1,0,0,0,1,0
308,103,3.0,3.5,8.49,0,0,1,0,0,0,1,0
304,102,3.0,4.0,8.73,0,0,1,0,0,0,1,0
311,102,4.5,4.0,8.64,0,0,0,1,0,0,0,1
317,110,4.0,4.5,9.11,1,0,0,1,0,0,0,1
312,106,4.0,3.5,8.79,1,0,0,1,0,0,0,1
321,111,2.5,3.0,8.9,1,0,0,1,0,0,0,1
340,112,5.0,4.5,9.66,1,0,0,0,1,0,0,1
331,116,4.0,4.0,9.26,1,0,0,0,0,1,0,1
336,118,4.5,4.0,9.19,1,0,0,0,0,1,0,1
324,114,5.0,4.5,9.08,1,0,0,0,0,1,0,1
314,104,5.0,5.0,9.02,1,0,0,0,1,0,1,0
313,109,4.0,3.5,9.0,0,0,0,1,0,0,1,0
307,105,2.5,3.0,7.65,0,0,1,0,0,0,1,0
300,102,1.5,2.0,7.87,0,0,1,0,0,0,1,0
302,99,1.0,2.0,7.97,0,0,1,0,0,0,1,0
312,98,3.5,3.0,8.18,0,1,0,0,0,0,0,1
316,101,2.5,2.0,8.32,0,0,1,0,0,0,0,1
317,100,3.0,2.5,8.57,0,0,1,0,0,0,1,0
310,107,3.5,3.5,8.67,0,0,0,1,0,0,1,0
320,120,4.0,4.5,9.11,1,0,0,1,0,0,1,0
330,114,4.5,4.5,9.24,1,0,0,1,0,0,0,1
305,112,3.0,3.5,8.65,0,0,0,1,0,0,1,0
309,106,2.5,2.5,8.0,0,0,1,0,0,0,1,0
319,108,2.5,3.0,8.76,0,0,1,0,0,0,1,0
322,105,3.0,3.0,8.45,0,0,1,0,0,0,0,1
323,107,3.5,3.5,8.55,0,0,0,1,0,0,0,1
313,106,2.5,2.0,8.43,0,0,1,0,0,0,1,0
321,109,3.5,3.5,8.8,0,0,0,1,0,0,0,1
323,110,4.0,3.5,9.1,0,0,0,1,0,0,0,1
325,112,4.0,4.0,9.0,1,0,0,0,1,0,0,1
312,108,3.5,3.0,8.53,0,0,0,1,0,0,1,0
308,110,3.5,3.0,8.6,0,0,0,0,1,0,1,0
320,104,3.0,3.5,8.74,0,0,0,1,0,0,0,1
328,108,4.5,4.0,9.18,1,0,0,0,1,0,0,1
311,107,4.5,4.5,9.0,0,0,0,0,1,0,0,1
301,100,3.5,3.0,8.04,0,0,0,1,0,0,1,0
305,105,3.0,4.0,8.13,0,0,1,0,0,0,1,0
308,104,2.5,3.0,8.07,0,0,1,0,0,0,1,0
298,101,1.5,2.0,7.86,0,0,1,0,0,0,1,0
300,99,1.0,2.5,8.01,0,1,0,0,0,0,1,0
324,111,2.5,2.0,8.8,0,0,0,1,0,0,0,1
327,113,3.5,3.0,8.69,1,0,0,0,1,0,0,1
317,106,4.0,3.5,8.5,0,0,0,1,0,0,0,1
323,104,4.0,4.0,8.44,0,0,0,1,0,0,0,1
314,107,2.5,4.0,8.27,0,0,1,0,0,0,1,0
305,102,2.0,2.5,8.18,0,0,1,0,0,0,1,0
315,104,3.0,2.5,8.33,0,0,0,1,0,0,1,0
326,116,3.5,4.0,9.14,1,0,0,1,0,0,0,1
299,100,2.0,2.0,8.02,0,0,0,1,0,0,1,0
295,101,2.5,2.0,7.86,0,0,1,0,0,0,1,0
324,112,4.0,3.5,8.77,1,0,0,0,1,0,0,1
297,96,2.5,1.5,7.89,0,0,1,0,0,0,1,0
327,113,3.5,3.0,8.66,1,0,0,1,0,0,0,1
311,105,3.0,2.0,8.12,0,0,1,0,0,0,0,1
308,106,3.5,2.5,8.21,0,0,0,1,0,0,0,1
319,108,3.0,3.5,8.54,0,0,0,1,0,0,0,1
312,107,4.5,4.0,8.65,0,0,0,0,1,0,0,1
325,111,4.0,4.5,9.11,1,0,0,0,1,0,0,1
319,110,3.0,2.5,8.79,0,0,0,1,0,0,1,0
332,118,5.0,5.0,9.47,1,0,0,0,0,1,0,1
323,108,4.0,4.0,8.74,1,0,0,0,0,1,0,1
324,107,3.5,4.0,8.66,1,0,0,0,0,1,0,1
312,107,3.0,3.0,8.46,0,0,0,1,0,0,0,1
326,110,3.5,3.5,8.76,0,0,0,1,0,0,0,1
308,106,3.0,3.0,8.24,0,0,0,1,0,0,1,0
305,103,2.5,3.5,8.13,0,0,1,0,0,0,1,0
295,96,1.5,2.0,7.34,0,0,1,0,0,0,1,0
316,98,1.5,2.0,7.43,0,1,0,0,0,0,1,0
304,97,1.5,2.0,7.64,0,0,1,0,0,0,1,0
299,94,1.0,1.0,7.34,0,1,0,0,0,0,1,0
302,99,2.0,2.0,7.25,0,1,0,0,0,0,1,0
313,101,2.5,3.0,8.04,0,0,0,1,0,0,1,0
318,107,3.0,3.5,8.27,0,0,0,1,0,0,0,1
325,110,3.5,4.0,8.67,0,0,0,0,1,0,0,1
303,100,3.0,3.5,8.06,0,0,1,0,0,0,0,1
300,102,3.5,2.5,8.17,0,0,0,1,0,0,1,0
297,98,2.5,3.0,7.67,0,0,1,0,0,0,1,0
317,106,2.0,3.5,8.12,0,0,1,0,0,0,1,0
327,109,3.5,4.0,8.77,0,0,0,1,0,0,0,1
301,104,3.5,3.5,7.89,0,0,1,0,0,0,0,1
314,105,2.5,2.0,7.64,0,0,1,0,0,0,1,0
321,107,2.0,1.5,8.44,1,0,1,0,0,0,1,0
322,110,4.0,5.0,8.64,1,0,0,1,0,0,0,1
334,116,4.0,3.5,9.54,1,0,0,0,1,0,0,1
338,115,4.5,5.0,9.23,1,0,0,0,0,1,0,1
306,103,2.5,3.0,8.36,0,0,1,0,0,0,1,0
313,102,3.5,4.0,8.9,0,0,0,1,0,0,0,1
330,114,4.5,3.0,9.17,1,0,0,0,1,0,0,1
320,104,3.5,4.5,8.34,0,0,0,1,0,0,0,1
311,98,1.0,2.5,7.46,0,1,0,0,0,0,1,0
298,92,2.0,2.0,7.88,0,1,0,0,0,0,1,0
301,98,2.0,3.0,8.03,0,1,0,0,0,0,0,1
310,103,2.5,2.5,8.24,0,0,1,0,0,0,1,0
324,110,3.5,3.0,9.22,1,0,0,1,0,0,0,1
336,119,4.5,4.0,9.62,1,0,0,0,1,0,0,1
321,109,3.0,3.0,8.54,0,0,0,1,0,0,0,1
315,105,2.0,2.5,7.65,0,0,1,0,0,0,1,0
304,101,2.0,2.5,7.66,0,0,1,0,0,0,1,0
297,96,2.5,2.0,7.43,0,0,1,0,0,0,1,0
290,100,1.5,2.0,7.56,0,1,0,0,0,0,1,0
303,98,2.0,2.5,7.65,0,1,0,0,0,0,1,0
311,99,2.5,3.0,8.43,0,1,0,0,0,0,0,1
322,104,3.5,4.0,8.84,0,0,0,1,0,0,0,1
319,105,3.0,3.5,8.67,0,0,0,1,0,0,0,1
324,110,4.5,4.0,9.15,1,0,0,0,1,0,0,1
300,100,3.0,3.5,8.26,0,0,0,1,0,0,1,0
340,113,5.0,5.0,9.74,1,0,0,0,1,0,0,1
335,117,5.0,5.0,9.82,1,0,0,0,0,1,0,1
302,101,2.5,3.5,7.96,0,0,1,0,0,0,1,0
307,105,2.0,3.5,8.1,0,0,1,0,0,0,1,0
296,97,1.5,2.0,7.8,0,0,1,0,0,0,1,0
320,108,3.5,4.0,8.44,0,0,0,1,0,0,0,1
314,102,2.0,2.5,8.24,0,0,1,0,0,0,1,0
318,106,2.0,3.0,8.65,0,0,0,1,0,0,1,0
326,112,4.0,3.5,9.12,1,0,0,0,1,0,0,1
317,104,3.0,3.0,8.76,0,0,1,0,0,0,1,0
329,111,4.5,4.0,9.23,1,0,0,0,1,0,0,1
324,110,3.5,3.5,9.04,1,0,0,1,0,0,0,1
325,107,3.0,3.5,9.11,1,0,0,1,0,0,0,1
330,116,5.0,4.5,9.45,1,0,0,0,1,0,0,1
312,103,3.5,4.0,8.78,0,0,0,1,0,0,1,0
333,117,5.0,4.0,9.66,1,0,0,0,1,0,0,1
304,100,3.5,3.0,8.22,0,0,1,0,0,0,1,0
315,105,3.0,3.0,8.34,0,0,1,0,0,0,1,0
324,109,3.5,3.0,8.94,0,0,0,1,0,0,0,1
330,116,4.0,3.5,9.23,1,0,0,0,1,0,0,1
311,101,2.0,2.5,7.64,0,0,0,1,0,0,0,1
302,99,2.5,3.0,7.45,0,0,0,1,0,0,1,0
322,103,3.0,2.5,8.02,0,0,0,0,1,0,0,1
298,100,2.5,4.0,7.95,0,0,0,1,0,0,0,1
297,101,2.0,4.0,7.67,0,0,0,1,0,0,0,1
300,98,2.0,2.5,8.02,0,1,0,0,0,0,1,0
301,96,3.0,4.0,7.56,0,1,0,0,0,0,1,0
313,94,2.5,1.5,8.13,0,0,1,0,0,0,1,0
314,102,2.5,2.0,7.88,0,0,0,0,1,0,0,1
317,101,3.0,2.0,7.94,0,0,0,1,0,0,0,1
321,110,3.5,4.0,8.35,0,0,0,0,1,0,0,1
327,106,4.0,4.5,8.75,0,0,0,0,1,0,0,1
315,104,4.0,2.5,8.1,0,0,0,1,0,0,1,0
316,103,3.5,2.0,7.68,0,0,0,1,0,0,1,0
309,111,2.5,4.0,8.03,0,0,1,0,0,0,1,0
308,102,2.0,3.5,7.98,0,0,1,0,0,0,0,1
299,100,2.0,3.0,7.42,0,0,0,1,0,0,1,0
321,112,3.0,4.5,8.95,0,0,0,1,0,0,0,1
322,112,3.5,2.5,9.02,0,0,0,0,1,0,0,1
334,119,4.5,5.0,9.54,1,0,0,0,0,1,0,1
325,114,4.0,5.0,9.46,1,0,0,0,0,1,0,1
323,111,4.0,5.0,9.86,1,0,0,0,0,1,0,1
312,106,3.0,5.0,8.57,0,0,0,1,0,0,1,0
310,101,3.5,5.0,8.65,0,0,0,1,0,0,0,1
316,103,2.0,4.5,8.74,0,0,1,0,0,0,1,0
340,115,5.0,4.5,9.06,1,0,0,0,0,1,0,1
311,104,4.0,3.5,8.13,0,0,0,1,0,0,0,1
320,112,3.5,3.5,8.78,0,0,1,0,0,0,0,1
324,112,4.5,4.0,9.22,1,0,0,0,1,0,0,1
316,111,4.0,5.0,8.54,0,0,0,0,1,0,1,0
306,103,3.5,3.0,8.21,0,0,0,1,0,0,1,0
309,105,2.5,4.0,7.68,0,0,1,0,0,0,1,0
310,110,1.5,4.0,7.23,0,1,0,0,0,0,0,1
317,106,1.5,3.5,7.65,0,1,0,0,0,0,0,1
318,110,2.5,3.5,8.54,0,1,0,0,0,0,0,1
312,105,1.5,3.0,8.46,0,0,1,0,0,0,1,0
305,104,2.5,1.5,7.79,0,0,1,0,0,0,1,0
332,112,1.5,3.0,8.66,0,1,0,0,0,0,0,1
331,116,4.5,4.5,9.44,1,0,0,0,1,0,0,1
321,114,4.5,4.5,9.16,1,0,0,0,0,1,0,1
324,113,4.0,5.0,9.25,1,0,0,0,0,1,0,1
328,116,4.5,5.0,9.08,1,0,0,0,0,1,0,1
327,118,5.0,5.0,9.67,1,0,0,0,1,0,0,1
320,108,3.5,5.0,8.97,1,0,0,1,0,0,0,1
312,109,2.5,4.0,9.02,1,0,1,0,0,0,1,0
315,101,3.5,4.5,9.13,0,0,0,1,0,0,1,0
320,112,3.0,4.5,8.86,1,0,0,0,1,0,0,1
324,113,4.5,4.5,9.25,1,0,0,0,1,0,0,1
328,116,5.0,3.5,9.6,1,0,0,0,1,0,0,1
319,103,2.5,4.0,8.76,0,0,0,1,0,0,0,1
310,105,3.0,3.5,8.01,0,0,1,0,0,0,1,0
305,102,1.5,2.5,7.64,0,0,1,0,0,0,1,0
299,100,2.0,2.0,7.88,0,0,1,0,0,0,1,0
295,99,2.0,1.5,7.57,0,1,0,0,0,0,1,0
312,100,3.0,3.0,8.53,0,1,0,0,0,0,0,1
329,113,4.0,3.5,9.36,1,0,0,0,1,0,0,1
319,105,4.0,4.5,8.66,0,0,0,0,1,0,0,1
301,102,2.5,2.0,8.13,0,0,0,1,0,0,0,1
307,105,3.0,3.0,7.94,0,0,0,0,1,0,1,0
304,107,3.5,3.0,7.86,0,0,0,1,0,0,1,0
298,97,2.0,3.0,7.21,0,0,1,0,0,0,1,0
305,96,3.0,4.5,8.26,0,0,0,0,1,0,1,0
314,99,3.5,4.5,8.73,0,0,0,0,1,0,0,1
318,101,3.5,5.0,8.78,0,0,0,0,0,1,0,1
323,110,4.0,5.0,8.88,1,0,0,0,1,0,0,1
326,114,4.0,3.5,9.16,1,0,0,0,1,0,0,1
320,110,4.0,4.0,9.27,1,0,0,0,0,1,0,1
311,103,2.0,4.0,8.09,0,0,0,1,0,0,1,0
327,116,4.0,4.5,9.48,1,0,0,0,1,0,0,1
316,102,4.0,3.5,8.15,0,0,1,0,0,0,1,0
308,105,3.0,2.5,7.95,0,0,0,0,1,0,0,1
300,101,3.5,2.5,7.88,0,0,0,1,0,0,1,0
304,104,2.5,2.0,8.12,0,0,0,1,0,0,1,0
309,105,3.5,2.0,8.18,0,0,0,0,1,0,1,0
318,103,4.0,4.5,8.49,0,0,0,1,0,0,0,1
325,110,4.5,4.0,8.96,0,0,0,0,1,0,0,1
321,102,3.5,4.0,9.01,1,0,0,1,0,0,0,1
323,107,3.0,2.5,8.48,0,0,0,0,1,0,0,1
328,113,4.0,2.5,8.77,1,0,0,0,1,0,0,1
304,103,5.0,3.0,7.92,0,0,0,0,0,1,1,0
317,106,3.5,3.0,7.89,0,0,0,1,0,0,0,1
311,101,2.5,3.5,8.34,0,0,1,0,0,0,0,1
319,102,2.5,2.5,8.37,0,0,0,1,0,0,1,0
327,115,3.5,4.0,9.14,0,0,0,0,1,0,1,0
322,112,3.0,4.0,8.62,0,0,0,1,0,0,0,1
302,110,4.0,4.5,8.5,0,0,0,1,0,0,1,0
307,105,2.5,4.5,8.12,0,0,1,0,0,0,0,1
297,99,3.0,3.5,7.81,0,0,0,0,1,0,1,0
298,101,2.5,4.5,7.69,0,0,0,0,1,0,0,1
300,95,3.0,1.5,8.22,0,0,1,0,0,0,0,1
301,99,2.5,2.0,8.45,0,0,0,1,0,0,0,1
332,108,4.5,4.0,9.02,1,0,0,0,0,1,0,1
337,117,5.0,5.0,9.87,1,0,0,0,0,1,0,1
330,120,4.5,5.0,9.56,1,0,0,0,0,1,0,1
312,103,4.0,5.0,8.43,0,0,0,0,1,0,1,0
327,113,4.5,4.5,9.04,1,0,0,0,1,0,1,0
